RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
618174,쉬림프 딸기샐러드,쉬림프딸기샐러드,ymgs1888,뽕브라,5295,2.0,22.0,튀김,일상,해물류,샐러드,상큼한 쉬림프 딸기샐러드에요. 그냥 가볍게 브런치로도  애피타이저로도 손색이 없는 메뉴랍니다.,[재료] 새우 7마리| 딸기 10개| 양상추 3장| 치커리 2장 [튀김반죽] 튀김가루 1큰술| 달걀 1/2개| 물 1큰술 [양념] 튀김가루 1큰술| 빵가루 1/2컵| 맛술 1큰술| 소금 약간| 후춧가루 약간 [허니요플레 드레싱] 떠먹는 요플레 1통| 꿀 0.5큰술| 마요네즈 1큰술| 레몬즙 0.5큰술,2인분,초급,30분이내,20080329162425.0
618675,귤 쥬스 만들기 ,귤쥬스,hwa202,가시장미,31648,7.0,130.0,기타,간식,과일류,차/음료/술,진짜 귤로 만드는 귤 쥬스만들기 ,[재료] 껍질을 깐 귤 720g| 생강 12g [양념] 생수 200ml| 꿀 3TS,1인분,아무나,30분이내,20080329234630.0
618685,초코초코케익~~~ ^ ^,초코케익,hwa202,가시장미,3447,1.0,23.0,굽기,간식,밀가루,빵,초코케이크 레시피입니다.,,4인분,초급,60분이내,20080329235643.0
618953,언제 먹어도 맛있는 김치볶음밥,김치볶음밥,wine59,마이드림,21111,21.0,22.0,볶음,일상,쌀,밥/죽/떡,김치볶음밥은 볶음밥 중의 킹왕짱이잖아요. 새콤하니  먹어두 먹어두 질리지 않는 베스트 볶음밥이지요.,[재료] 김치 잘게 썬것 2컵| 베이컨 2줄| 양파 1/2개| 통마늘 5개| 풋고추 2개| 식용유 2큰술| 버터 1큰술| 김가루 2컵| 달걀 3개 [양념] 소금 약간,2인분,초급,30분이내,20080330061502.0
619124,감귤젤리 아이스바 & 감귤젤리 ,감귤젤리아이스바,okwn7,센,7190,3.0,56.0,기타,간식,과일류,디저트,새콤달콤 비타민이 풍부한 감귤쥬스와 과육을 넣어 더욱 새콤달콤한 아이스바와 감귤젤리예요. 보기만 해도 비타민이 충족될것 같죠? 아이들 간식으로 무척 좋답니다.,[재료] 가루 젤라틴 8ts| 물 200ml| 감귤통조림 1캔 [양념] 감귤주스 600ml| 설탕 100g| 레몬즙 1Ts,4인분,초급,60분이내,20080330130142.0
619152,얼큰하고 뜨끈 뜨끈...순대전골 ~,순대전골,young4652,물향기,20695,17.0,184.0,끓이기,술안주,가공식품류,국/탕,냉동고에 지난번에 사골곰탕 끓여 얼려둔 사골육수... 요긴하게 여러가지 국물요리에 쓰고 한팩이 남아.. 봄비가 내린 후 잠시 쌀쌀한 오후.. 뜨끈한전골이 생각나게 하네요~ 마트 들려 이것저것 사다 눈에 띤..순대집.. 순대전골 해 먹으려고 3천원치 사들고 룰루랄라~집으로... 얼큰하고 뜨끈한 순대전골.. 한끼 해결하는데두 좋치만 술안주...쏘주 한잔 기가 막히죠~ 이슬이두 1병 추가... 집으로 오는 발걸음에 힘 무지 들어갔답니다..ㅋㅌ,,2인분,아무나,30분이내,20080330134144.0
619616,부드러운 그린식빵,식빵,hwa202,가시장미,2183,2.0,14.0,굽기,간식,밀가루,빵,부드러운 그린식빵이예요. 청콩가루를 넣어서 연한 그린색을 내줘봤답니다.,[재료] 강력분 370g| 청콩가루 40g| 우유 270ml| 탈지분유 18g| 소금 5g| 설탕 20g| 이스트 5g| 크림치즈 20g| 체다치즈 2장,6인분이상,초급,2시간이내,20080330221507.0
620998,오독오독 자꾸만 손이가는 캬라멜 비스코티,캬라멜비스코티,okwn7,센,1927,1.0,13.0,굽기,간식,밀가루,과자,오독오독 자꾸만 손이가는 캬라멜 비스코티. 은은한 캬라멜향이 솔솔 자꾸만 손이 가요.,[재료] 계란 1개| 설탕 60그램| 캬라멜크림 50그램| 통아몬드 50그램| 아몬드가루 25그램| 박력분 160그램| 베이킹파우더 1/2ts,6인분이상,중급,90분이내,20080331232949.0
621936,간단하지만 맛있는 오무라이스,오므라이스,alsruddk66,밀키,43416,14.0,174.0,볶음,일상,쌀,밥/죽/떡,마땅한 찬거리가 없을때 후딱 만들어 먹는 밀키식 오무라이스 입니다 남들은 찬밥이 남으면 만들어 먹는 오무라이스를 저희집은 밥을 일부러 한솥을 해서 만들어 먹는답니다 오무라이스를 하면 밥을 얼마나 많이 먹는지 남은 밥으론 감당하기가 어렵기 때문 이라지요~^^* 별다른 재료가 들어가지도 않지만 진짜 부들부들하고 촉촉한 오물렛을 스파게티 소스로 맛을낸 밥에 올려서 먹음 밥이 언제 없어졌는지 모르게 꿀떡꿀떡~내밥 다 어디 갔어?~ㅎㅎ,,1인분,초급,60분이내,20080401170310.0
623103,닭매운탕~,닭매운탕,young4652,물향기,12495,7.0,67.0,끓이기,술안주,닭고기,국/탕,오랜만에 재래시장을 가 보니 생닭 값이 내렸네요~ 얼마전까지 재래시장에서도 생닭 한마리 6천원씩 하드라구요.. 마트가믄 더 쌀려나 해서 대형마트 가서두 7~8원대... 그래서 잠시동안 닭요리를 못해 먹었는데.. 오랜만에 닭 한마리 큰걸루 모셔왔어요.. 쫄깃하게 닭매운탕 해 먹을려고요~ㅎ 닭매운찜과 달리 국물을 더 많이 하는게 닭매운탕이랍니다.,,4인분,아무나,60분이내,20080402130248.0
623180,제이미 올리버식 바닐라설탕 만들기,바닐라설탕,okwn7,센,4667,3.0,11.0,기타,일상,가공식품류,양념/소스/잼,집에 성능 좋은 푸드프로세서랑 설탕  바닐라빈만 있으면 언제든 쉽게 만들수 있는 바닐라설탕입니다.,[재료] 흰설탕 200그램| 바닐라빈 1개,6인분이상,아무나,5분이내,20080402134909.0
623615,깔끔하고 바삭한 맛의 등갈비 바베큐,등갈비바베큐,wine59,마이드림,10533,3.0,36.0,굽기,일상,돼지고기,양식,등갈비를 바베큐소스만 발라서 오븐에 잠시 구워내니.. 우하~~ 너무 간단하게 완성되었어요.,[재료] 등갈비 2대 [양념] 시판용 바베큐소스 1컵 [등갈비 밑간] 생강술 2큰술| 통후추 20알 정도| 월계수잎 5장| 허브소금 1큰술,6인분이상,초급,2시간이상,20080402195712.0
623625,딸기바나나 크레이프,딸기바나나크레이프,wine59,마이드림,4209,2.0,24.0,볶음,간식,밀가루,빵,집에 있는 바나나와 계란으로 크레이프를 만들어보세요.,[재료] 계란 3개| 우유 9큰술| 바나나 3개| 냉동딸기 1컵| 다진 피칸 2큰술| 바질잎 약간| 버터 1큰술 [양념] 소금 0.1작은술| 황설탕 1큰술,3인분,초급,30분이내,20080402201628.0
623805,아삭아삭 시원한 설렁탕집 깍두기,설렁탕깍두기,ymgs1888,뽕브라,56814,50.0,799.0,절임,일상,채소류,김치/젓갈/장류,꼭 국밥집에 가면 같이 나오는 큼지막한 깍두기가 왜이리도 맛있던지  아삭아삭하니 시원한 일반적으로 만드는 깍두기와는 다른 그 비법! 지금 가르쳐드릴테니~~ 꼼꼼히 읽어보세용!,[재료] 깍둑썬 무 4컵| 사이다 1/2컵| 대파 1/4뿌리 [양념] 고춧가루 3큰술| 까나리액젓 2큰술| 새우젓 0.5큰술| 다진 마늘 1큰술| 설탕 0.5큰술| 사이다 2큰술| 소금 약간,4인분,초급,2시간이내,20080402230256.0
624947,깻잎향이 솔솔 깻잎 떡볶이,깻잎떡볶이,okwn7,센,20130,15.0,85.0,볶음,간식,채소류,밥/죽/떡,향긋한 깻잎향이 솔솔 매콤달콤 떡볶이입니다.,[재료] 떡볶이떡 2줌| 깻잎 10장| 양파 1/2개| 대파 1줄기| 어묵 2장| 다시마 5조각 [다시국물 재료] 멸치 1줌| 건표고버섯 2개| 물 3~4컵 [양념장] 고추장 1큰술| 요리당 or물엿 1큰술| 설탕 1/2큰술| 고춧가루 1큰술| 간장 1~2큰술.,2인분,초급,30분이내,20080403163919.0
625080,슈크림이 들어있는 녹차롤케이크,녹차롤케이크,alsruddk66,밀키,6039,3.0,115.0,굽기,간식,밀가루,빵,녹차롤케이크 속에 달콤한 슈크림이 들어 있어서 두배로 부드러운 롤케이크를 만들어 봤어요 롤케이크를 먹으면서 슈크림도 같이 먹을 수 있으니 꿩먹고 알먹고~일석이조~^^* 슈크림이 들어있는 롤케이크라고 억지스런 이름을 붙여봤지만 사실 가만보면 에클레어를 만들어 롤케익에 넣고 말아준 롤케이크 이랍니다~^^* 봄비가 내린 어제아침 찍은 사진이라 녹차색이 좀 이상하네요,[롤케이크] 박력분 70g| 계란 3개(160g)| 설탕 60g| 우유 15g| 꿀 15g| 버터 15g| 녹차가루 2ts| 생크림 1/2컵| 설탕 20g [파트 아 슈] 물 80g| 버터 32g| 소금 1g| 설탕 2g| 박력분 48g| 계란 2개 [크렘 파티시에르] 우유 360g| 바닐라액 1/2ts| 계란노른자 3개(60g)| 설탕 70g| 옥수수전분 25g,4인분,초급,60분이내,20080403185057.0
626024,해물볶음밥,해물볶음밥,young4652,물향기,22124,5.0,59.0,볶음,일상,해물류,밥/죽/떡,찬밥이 남아도네요~ 요즘 이틀에 건너서는 찬밥 처리반이 필요~ㅎ 언젠가 나물이네에서 배운 해물볶음밥.. 짜투리 해물이 남았을때 요긴하게 쓰임새가 있드라구요~ 요즘 찬밥을 화려하게 변신해서 먹다보니 어제저녁엔 해물 볶음밥으로 당첨~,,3인분,아무나,30분이내,20080404130625.0
627105,집에서 간단하게 연유만들기,연유,alsruddk66,밀키,47003,11.0,253.0,끓이기,일상,달걀/유제품,양념/소스/잼,만주를 만들때 필요한 연유  팥빙수나 먹을때 필요한 연유를 매번 유통기한이 지나서 몹시 아까워하면서 버렸던 기억이 나서 연유를 직접 만들기로 맘먹고 구글 검색을 하다 찾은 착한 레시피입니다.,[재료] 우유 500g [(설탕이 우유의 1/5분량)] 설탕 100g,6인분이상,아무나,60분이내,20080405103315.0
627605,새콤달콤한 탕수새우,새우탕수,wine59,마이드림,10452,5.0,92.0,튀김,손님접대,해물류,메인반찬,새콤달콤한 탕수육 소스와 새우의 만남! 탕수새우입니다.,[재료] 새우 1팩 15마리(250g)| 양파 1/4개| 피망 1개| 파프리카| 파인애플| 통마늘 2개| 튀김용기름 1컵| 계란노른자 1개| 녹말가루 5큰술 [녹말물 재료] 녹말가루 3큰술| 물 1/4컵 [새우밑간] 소금| 후춧가루| 레몬즙 1큰술 [탕수소스] 진간장 2큰술| 식초 3큰술| 케첩 3큰술| 후춧가루 약간| 올리고당 2큰술| 설탕 3큰술| 참기름 0.5큰술| 핫소스 2큰술| 식용유 1큰술| 물 2/3컵,4인분,중급,60분이내,20080405215924.0
627691,오늘은 계란먹는 날~ 포프리계란으로 난개발2,감자피자,wine59,마이드림,27477,32.0,94.0,부침,간식,달걀/유제품,메인반찬,난개발이란? 계란을 개발한 요리라면서 남편이 명명해준 요리지요. 옛날에는 감자를 생으로 채쳐서 후라이팬에서 익힌 후 계란을 넣었는데요.. 오늘은 감자를 익혀서 통으로 슬라이스한 후 계란을 넣었더니..또 다른 맛이군요...,,4인분,초급,30분이내,20080405235108.0
627980,뜨끈한 국물인 일품인 칼국수,칼국수,wine59,마이드림,16993,9.0,123.0,끓이기,일상,밀가루,면/만두,으슬으슬 추울땐 뜨끈한 칼국수~,[재료] 칼국수 3인분| 감자 1/2개| 애호박 1/3개| 계란 1개| 새우 1줌| 표고버섯 2개| 당근 약간| 대파 1/2대| 멸치육수 2리터 [양념] 국간장 3큰술| 소금 약간| 후춧가루 약간,3인분,초급,30분이내,20080406065112.0
629401,상하이 쉬림프 파스타,상하이파스타,okwn7,센,11929,9.0,172.0,볶음,손님접대,밀가루,면/만두,매콤하게 확~ 당기는 맛!! 상하이 쉬림프 파스타,[재료] 스파게티면 2줌(200g)| 껍질 깐 생새우나 칵테일새우 2줌| 청피망 작은것 1개| 양파 1/2개| 빨간 파프리카 작은것 1/2개| 청양고추 4개| 팽이버섯 1줌 [양념] 고추기름 2큰술| 매콤한 굴소스 2큰술| 간장 1.5큰술| 다진마늘 1큰술,2인분,초급,30분이내,20080407164535.0
629687,양상추샌드위치,양상추샌드위치,wine59,마이드림,13702,6.0,66.0,기타,간식,밀가루,빵,케찹 듬뿍 양상추 샌드위치,[재료] 롤빵 3개(140g)| 베이컨 9장(180g)| 양상추 1컵(60g)| 방울토마토 5개(90g) [양념] 마요네즈 2큰술(20g)| 머스터드 2큰술(20g)| 피클 1/2개(20g)| 씨겨자(홀그레인 머스터드) 1큰술(10g),1인분,초급,30분이내,20080407203908.0
629775,돼지갈비찜,돼지갈비찜,hwa202,가시장미,54313,7.0,530.0,찜,손님접대,돼지고기,메인반찬,부드럽고 담백한 돼지고기를 푸짐하게 즐기는 돼지갈비찜입니다.,[재료] 돼지갈비 500g| 당근 1/2개| 양파 1/2개| 마른표고채 1줌| 물 300ml [양념] 진간장 5TS| 참기름 1ts| 매콤한맛 굴소스 2TS| 청주 2TS| 요리당 1TS| 황설탕 2TS| 후춧가루 조금| 다진 마늘 4알| 생강가루 1/4ts,3인분,중급,2시간이상,20080407225434.0
630167,10분도 안걸리는 초간단 김치볶음밥,김치볶음밥,ymgs1888,뽕브라,48408,13.0,178.0,볶음,일상,쌀,밥/죽/떡,배고플때 자주 만들어먹는 김치볶음밥입니다.,[재료] 잘게 썬 김치 1컵| 잘게 썬 햄 1/2컵| 밥 2공기| 달걀 2개 [양념] 간장 1큰술| 설탕 0.5큰술| 참기름 1큰술| 깨소금 약간| 식용유 3큰술,2인분,아무나,10분이내,20080408031003.0
630411,바나나머핀,바나나머핀,hwa202,가시장미,3675,0.0,34.0,굽기,간식,밀가루,빵,바나나향기에 맘껏 취해보리라. 바나나가 듬뿍들어간 바나나 머핀입니다.,[재료] 박력분 270g| 아몬드가루 30g| 버터 190g| 설탕 190g| 계란 3개| 베이킹파우다 9g| 소금 4g| 우유 95g| 바닐라오일 조금| 바나나 3개,6인분이상,초급,60분이내,20080408102904.0
630962,커피파운드 레몬 파운드 만들기,파운드,alsruddk66,밀키,2817,1.0,48.0,굽기,간식,밀가루,빵,상큼한 레몬 파운드케익과 향기좋은 모카 파운드케익!,[재료(장미노르딕12구| 파운드케익틀 큰거 한개 분량) ] 버터 350g| 설탕 250g| 박력분 400g| 계란 4개| 베이킹파우더 6g| 소금 조금| 레몬액기스 1ts| 레몬즙 1T| 모카액기스 1T| 깔루아 1T,6인분이상,중급,90분이내,20080408154344.0
633076,전복죽 간단하게 끓이기,전복죽,ymgs1888,뽕브라,8100,6.0,20.0,끓이기,영양식,해물류,밥/죽/떡,한그릇만 먹어도 원기회복이 된다능 구수하고 담백한 전복죽이에요. 기운 없을때나 원기회복이 필요할때 간단히 만들어보세요. 정말 한그릇만 먹어도 기운이 솟아난답니다.,[재료] 전복 3마리| 불린 쌀 3컵| 물 9컵 [양념] 참기름 2큰술| 소금 약간,4인분,초급,60분이내,20080410090913.0
633190, 마땅한 반찬이 없을때 간단하게 계란장조림,계란장조림,hwa202,가시장미,43332,24.0,171.0,조림,일상,달걀/유제품,밑반찬,반찬없을때 간단히 만들수있는 고소한 계란장조림입니다.,[재료] 계란 5개 [양념] 진간장 5TS| 황설탕 2TS| 생강 1쪽| 통깨 조금,4인분,초급,30분이내,20080410103506.0
633232,쫄깃쫄깃 아삭아삭 콩나물 곤약비빔면,콩나물곤약비빔면,hwa202,가시장미,37729,37.0,1073.0,비빔,일상,채소류,면/만두,곤약은 쫄깃쫄깃~~~ 콩나물은 아삭아삭~~~ 요게 무슨 소리냐구요??? 저희집 식탁위에서 느껴지는 식구들의 행복한 외침이랍니다.,[재료] 실곤약 500g| 콩나물 200g| 당근 1/2개| 김밥용햄 4개| 크리미 3개| 쪽파 조금| 통깨 조금 [양념] 고추장 2TS| 케찹 2TS| 황설탕 1TS| 요리초 1TS| 진간장 2TS| 다진 마늘 3알| 참기름 1ts,2인분,초급,30분이내,20080410110809.0
633250,짜장면,짜장면,hwa202,가시장미,45212,13.0,301.0,볶음,일상,밀가루,면/만두,집에서 만든 홈메이드 짜장면 이예요. 사먹은 짜장면보다 푸짐하고 맛있답니다. 채소와 고기를 듬뿍넣었고  옥수수와 계란을 넣어 더욱 고소하고 맛있어요. ,[재료] 짜장면발 500g| 양파 작은 크기 1개| 감자 1개| 당근 1개| 애호박 1/4개| 돼지고기안심 200g| 옥수수캔 조금| 삶은 달걀 2개| 마늘 2알| 녹말물 3TS| 오이 1/3개| 물 500ml| 포도씨유 적당량 [고기밑간] 소금| 청주 1ts| 후추 춘장 1봉지| 설탕 1.5TS| 물엿 1TS,4인분,초급,60분이내,20080410111737.0
633960,휴일 아침~중국식 파전병으로 아침먹기,파전병,wine59,마이드림,7827,6.0,43.0,부침,일상,곡류,면/만두,항상 새벽에 눈이 떠지는 마이드림..오늘도 역쉬나 눈을 뜨니 새벽 3시 반~ 이것저것 밀린 일 좀 하고 아침을 차렸지용... 집에 있는 날은 평소 먹고팠던 특별식? 으로.... ^^* 중국식파전병을 만들어 아침식사를 했답니다.,[중국식 파전병 재료] 밀가루 1+1/2컵| 소금 0.5작은술| 뜨거운물 1/2컵| 참기름 2큰술| 다진파| 소금| 베이컨| 기름| 초간장 [양파샌드위치 재료] 양파 1개| 베이컨| 소금| 후추| 발사믹식초 3큰술| 허니머스터드소스| 샌드위치빵 2개,6인분이상,아무나,90분이내,20080410205315.0
633999,레드와인 레이즌 가토 쇼콜라,가토쇼콜라,wine59,마이드림,2884,0.0,18.0,굽기,간식,밀가루,빵,레드와인 레이즌 가토쇼콜라입니다. 우리말로 번역하자면 적포도주 건포도 쵸코케익이죠. 쵸코케익은 언제 먹어도 사르르 녹는게 마치 달콤한 사랑같아요. 발렌타인데이때만 쵸콜렛 선물하지 마시구요. 사랑하는 사람에게 수시로 선물하면 좋을것 같아용~,[재료] 버터 160g| 다크초콜렛 200g| 설탕 140g| 달걀 6개| 레드와인 40g| 소금 1ts| 무가당 생크림 2Ts| 박력쌀가루 50g| 무가당 발로나 코코아 가루 60g| 장식용 슈가파우다 약간| 적당히 레드와인에 절인건포도 120g,6인분이상,중급,90분이내,20080410211642.0
634760, 얼얼하게 매운 닭고기 매운조림 ,닭고기조림,young4652,물향기,22986,10.0,85.0,조림,일상,닭고기,메인반찬,얼얼하게 매운 요리를 먹고 싶을때 늘 떠오르는 닭.. 1마리만 있으면 온가족이 즐겁게 먹을수 있어 값이 쌀때 종종 구입.. 언제나 저희집 냉동고에 한마리가 대기중이랍니다.^^ 오늘도 매운 닭한마리 조려봅니다..,,4인분,아무나,30분이내,20080411134052.0
635370,녹차 팥배기 파운드 케이크 ,녹차팥파운드케이크,okwn7,센,3582,1.0,58.0,굽기,간식,밀가루,빵,쌉싸름한 녹차맛 파운드에 달콤한 팥배기를 듬뿍. 쌉싸름한 녹차와 팥배기가 너무 잘 어울려요.,[재료] 박력분 110g| 설탕 90~100g| 버터 120g| 녹차가루 8~10g| 계란 2개| 베이킹 파우더 4g| 바닐라오일 약간| 팥배기 50g,6인분이상,중급,60분이내,20080411232542.0
635865,훈제연어롤 만들기,훈제연어롤,ymgs1888,뽕브라,16415,9.0,171.0,비빔,손님접대,해물류,밥/죽/떡,연어롤을 만들었어요. 위에 얹어진 날치알 덕분에 톡톡 터지는 재미가 쏠쏠하답니다. 또 시각적으로도 이쁘기 때문에 손님상으로도 손색이 없지용. 모처럼 분위기 내고싶을때 집에서 직접 연어롤을 만들어 보심이 어떠신가용?,[재료] 밥 2공기| 오이 1개| 맛살 2줄| 단무지 1줌| 참치캔 1개| 김밥 김 2장| 훈제연어 슬라이스 6장 [단촛물] 식초 1.5큰술| 설탕 1큰술| 소금 0.3큰술| 참기름 0.3큰술 [양념] 날치알 2큰술| 와사비 약간| 마요네즈 1큰술| 핫소스 0.3큰술| 레몬즙 0.3큰술| 후춧가루 약간 [마요네즈 소스] 마요네즈 1큰술| 레몬즙 0.3큰술,2인분,초급,60분이내,20080412140756.0
636481,향긋한 봄바람에 향기 듬뿍 담아 쑥전~,쑥전,young4652,물향기,17619,4.0,92.0,부침,간식,채소류,밑반찬,화사한 빛깔에 진달래와 산주위에 개나리들~평소보던 색깔보담 더 선명하고 화려하드라구요~ 바람에 실려오는 꽃향기에 와 졸졸 내려오는 청정 생수~물소리에 취해.. 여기저기 쑥쑥 올라와 있는 쑥이랑 산밑에 자라난 오리지날 토종 달래랑.. 틈틈이 나와있는 파릇파릇한돌나물이랑~ 산속이라 들판에는 벌써 냉이가 꽃들이 다 폈는데 아직 파릇파릇하게 올라오는 냉이랑.. 횡재한 기분으로 주저 앉아 봄나물 캐는 봄처녀?? 아~아줌마..ㅋㅌ 커다란 봉지에 한가득~ 집에와서 손톱 밑이 시꺼멓게 다듬는데 무지 시간이 걸렸찌만.. 마트나 시장서 사 먹는것도 더 향이 진하고 맛나다는....^^ 봄향기를 식탁에 올렸어요~ 물향기랑 향긋하고 쫄깃한 쑥전 만들어 보아요~,,2인분,아무나,30분이내,20080413130446.0
636961,색다른 게조개구이,조개구이,wine59,마이드림,4783,0.0,11.0,굽기,일상,해물류,디저트,게조개살을 발라서 뚜껑에 두부랑 야채를 넣고 구운 게조개구이랍니다. ,[재료] 게조개 2개| 계란 노른자 1개| 두부 1/5모| 대파 1/4쪽| 풋고추 약간| 홍고추 약간| 미니파프리카 1/2개씩| 삶은 계란 2개 [양념] 소금 0.5작은술| 후춧가루 약간| 다진 마늘 0.5작은술,2인분,중급,60분이내,20080413224048.0
636974,식사대용으로 좋은 클램차우더스프,클램차우더스프,wine59,마이드림,10763,5.0,141.0,끓이기,일상,해물류,스프,조개류의 여왕 대합으로 클램차우더스프를 만들어보았어요. 클램차우더는 해산물과 야채  감자를 넣어 만든 걸쭉한 스프입니다.,[재료] 대합 작은거 1개| 브로콜리 5송이| 양송이 5개| 양파 1/2개| 감자 1개| 생크림 1/2컵| 물 1.5컵| 파슬리가루 약간 | [루]| 밀가루 1/4컵| 우유 1/2컵| 올리브유(또는 버터) 1큰술 [양념] 올리브유 1큰술| 화이트와인 2큰술| 다진마늘 0.5큰술| 다진 파 1/2큰술| 소금 1큰술| 후춧가루 약간,2인분,초급,60분이내,20080413225542.0
637809,매콤달콤 칠리새우,칠리새우,okwn7,센,15023,14.0,110.0,튀김,손님접대,해물류,메인반찬,매콤달콤 소스에 버무린 고소한 새우튀김. 남녀노소 누구나 좋아하는 칠리새우랍니다.,[재료] 블랙타이거새우(中한팩) 약 40마리| 녹말가루 1컵| 계란 1개| 다진마늘 1/3큰술| 다진 대파 1줄기| 파프리카 다진것 약간| 파슬리가루 약간| 식용유(튀김용)| 물(or육수) 100ml [녹말물 재료] 물 4큰술| 녹말가루 1큰술 [새우밑간] 소금 약간| 후추(허브솔트or시즈닝솔트) 약간 [소스] 두반장 1큰술| 고추기름 1큰술| 케첩 5~6큰술| 설탕 1+1/2큰술| 매콤한 굴소스 1큰술| 고운 고춧가루 1큰술,6인분이상,중급,60분이내,20080414153558.0
637848,오븐없이 만드는 마늘빵,노오븐마늘빵,ymgs1888,뽕브라,15982,15.0,68.0,굽기,간식,밀가루,빵,토스터기로 마늘빵 만드는법을 소개할건데요. 오븐이 없는 분들을 위한 레시피랍니다. 그야말로 초간단한 레시피에용. 집에 토스터기 있으신 분들 꼭 만들어보세요.,[재료] 식빵 2쪽 [양념] 버터 2큰술| 다진 마늘 0.5큰술| 파슬리가루 0.3큰술,1인분,아무나,10분이내,20080414160640.0
638218,손가락 끝에 양념까지 쪽쪽 먹어요~바비큐립...(등갈비 구이),등갈비구이,young4652,물향기,47865,10.0,551.0,굽기,손님접대,돼지고기,메인반찬,벼르고 벼르던 등갈비 구이~ 외식하면 손쉽게 먹을수 있찌만...외식비용 만만치 않고... 오랜만에 마트 들렸더니 등갈비 빅 세일~ 보통 등갈비 1대당 8~9천원 정도 하는뎅 ...웬일인지 2대에 7천원이라는..이런 횡재~ㅋㅌ 드뎌 지름신으로 인해 질렀답니다..^^ 바베큐소스 넣으면 더 우리입맛에 착~달라 붙겠지만.. 바베큐소스 구하기가 강원도 원주선 어찌 힘든쥐.. 그래두 맛깔스럽게 양념 재우고 오븐에 구워답니다.. 물향기식 바비큐립(등갈비구이) 함께 만들어 보아요~,,4인분,아무나,2시간이상,20080414212405.0
638550,초코칩 쿠키,초코칩쿠키,alsruddk66,밀키,4756,4.0,40.0,굽기,간식,밀가루,과자,하나만 먹어도 배가 든든한 초코칩 쿠키~!,[재료] 밀가루(중력분+박력분) 400g | 버터 140g| 황설탕 100g| 계란 2개| 베이킹소다 1/2ts| 소금 1/2ts| 커피액기스 2Ts| 코코아가루 2큰술| 호두 1줌| 초코칩 1컵| 설탕(선택가능) 50g,4인분,초급,60분이내,20080415082026.0
638562,장미꽃 쿠키,장미꽃쿠키,alsruddk66,밀키,5555,6.0,131.0,굽기,간식,밀가루,과자,딸기향기가 나는 모양도 아름다운 장미꽃 쿠키!,[재료] 버터 30g| 슈가파우더 2큰술| 박력분 4큰술| 딸기시럽 1큰술| 우유 1큰술,4인분,고급,60분이내,20080415084523.0
639009,패밀리 레스토랑 따라잡기~!!몬테 크리스토,몬테크리스토,ymgs1888,뽕브라,21971,19.0,243.0,튀김,일상,밀가루,빵,밖에서 사먹을땐 거의 몇만원돈이 깨지지는 메뉴 몬테 크리스토! 집에서 만들어 먹으면 저렴하게 만들어 먹을 수 있어서 좋답니당이~ 이젠 몬테크리스토! 집에서 깔끔하게 입맛대로 즐겨보아요~,[재료] 식빵 3쪽| 슬라이스 햄 2장| 슬라이스 치즈 4장| 닭가슴살 1쪽 [튀김반죽] 튀김가루 8큰술| 얼음물 6큰술| 달걀 1/2개 [양념] 버터 1큰술| 피자치즈 2큰술| 소금 약간| 후춧가루 약간| 딸기쨈,2인분,초급,30분이내,20080415121946.0
639587,난상토론 계란과 토마토 그리고 감자로 만든 난개발2,감자전,wine59,마이드림,14769,22.0,81.0,부침,일상,채소류,밑반찬,,,6인분이상,아무나,60분이내,20080415200151.0
639616,계란주먹밥과 콩잎주먹밥,계라주먹밥,wine59,마이드림,74077,52.0,1310.0,데치기,도시락,채소류,밥/죽/떡,집에 있는 재료로 후다닥 만든 봄소풍 도시락 소개함돠~,[계란주먹밥 재료] 밥 2공기| 당근 1개| 데친 시금치 1/2줌| 계란 4개| 오징어젓갈 약간 [콩잎주먹밥 재료] 밥 1공기| 콩잎 적당량| 청양 고추 1/2개| 명란젓갈 약간 [양념] 깨소금 1큰술| 소금,4인분,초급,60분이내,20080415203843.0
640518,시금치 크림 스파게티,시금치크림스파게티,alsruddk66,밀키,6100,1.0,58.0,볶음,일상,밀가루,면/만두,영양 가득 고소한 시금치 크림 스파게티입니다~,[재료] 시금치 1단| 양파 1/2개| 식용유 1큰술| 잣 1줌| 파 조금| 스파게티면 200g [양념] 생크림 소스(생크림 + 물) 2.5컵| 파마산치즈 2큰술| 체다치즈 1장| 소금 1작은술| 후추 조금| 다시다 조금,2인분,초급,15분이내,20080416161529.0
640641,고소한 블루베리 타르트,블루베리타르트,alsruddk66,밀키,3779,1.0,58.0,굽기,간식,밀가루,과자,냉동 블루베리로 쨈을 만들고 소보루와 아몬드슬라이스를 올려서 엄청 고소한 타르트를 구워 봤어요~,[재료] 아몬드슬라이스 1줌| 분당 조금 [생지] 버터 75g| 아몬드가루 20g| 박력분 75g| 소금 조금| 계란 2개| 설탕 65g [스트로이젤(소보루)] 찬버터 40g| 설탕 30g| 박력분 50g| 소금 조금 [블루베리쨈] 냉동블루베리 160g| 설탕 50g| 레몬즙 3큰술,4인분,중급,90분이내,20080416164118.0
